22:05:04.656 [main] INFO  c.R.journalApp.JournalAppApplication - Starting JournalAppApplication using Java 25.0.2 with PID 11720 (E:\MCA_Language_Course\SpringBoot\journalApp\target\classes started by rashilyadav in E:\MCA_Language_Course\SpringBoot\journalApp)
22:05:04.659 [main] DEBUG c.R.journalApp.JournalAppApplication - Running with Spring Boot v3.5.14, Spring v6.2.18
22:05:04.660 [main] INFO  c.R.journalApp.JournalAppApplication - The following 1 profile is active: "dev"
22:05:05.516 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
22:05:05.597 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 73 ms. Found 2 MongoDB repository interfaces.
22:05:06.370 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
22:05:06.388 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
22:05:06.391 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22:05:06.391 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54]
22:05:06.469 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
22:05:06.470 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1740 ms
22:05:06.875 [cluster-ClusterId{value='6a0c913a46e9f83f9d1dd6e3', description='Cluster0'}-srv-cluster0.mgfh3br.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-genknkj-shard-00-00.mgfh3br.mongodb.net:27017 to client view of cluster
